page_number,content
24,"Tooth Fairy?
Yes, the Tooth Fairy.
If you put the tooth under
your pillow tonight,
the Tooth Fairy will come.
The Tooth Fairy will take the tooth.
And in its place,
she will leave a shiny coin!
When I grow up,
I want to be a Tooth Fairy!
And what would you like to be
when you grow up, George?
Dine-Saw!
A dinosaur!
Quick, George, it's bedtime!
We don't want to
miss the Tooth Fairy!
Before going to bed,
Peppa and George brush their teeth.
Peppa, what are you doing?
I'm brushing my tooth
so it is nice and clean
for the Tooth Fairy.
Peppa cannot wait to get into bed.
Peppa is putting her tooth
under the pillow
for the Tooth Fairy.
Goodnight, Peppa and George.
Goodnight, Mummy!
Goodnight, Daddy!
Goodnight, my Little piggies!
George, I'm not going to sleep!
Let's both stay awake all night
and see the Tooth Fairy!
This Tooth Fairy is very late!
The Tooth Fairy is taking
a long time to arrive.
Where is that Tooth Fairy?
What is that noise?
Is it the Tooth Fairy?
George, can you hear something?
Oh, George!
Oh, the noise is George.
He was so tired, he has fallen asleep.
George is not very good
at staying awake, but I am.

I'm not going to sleep...
The Tooth Fairy has arrived.
But Peppa is asleep.
Hello, Peppa.
Would you like this coin
in return for your tooth?
What a nice, clean tooth.
Thank you, Peppa, Goodnight.
Peppa, George, wake up.
It's morning.
What? I wasn't asleep!
Did the Tooth Fairy come?
No!
Let's take a look under your pillow.
Look, Peppa! The Tooth Fairy
has been and she's left you a coin!
Hurray!
You fell asleep, didn't you?
Well, maybe I fell asleep
just for a Little bit...
Next time, I will stay awake,
and I will see
the Tooth Fairy!
26 Treasure Hunt
Treasure Hunt!
Granny Pig and Grandpa Pig are
making a treasure hunt for
Peppa and Geroge.
Granny Pig is drawing the treasure map.
Grandpa Pig is burying the treasure
in a secret place in the garden.
Grandpa Pig! Have you finished?!
Peppa and George will be here soon!
No need to panic, Granny Pig!
Peppa and her family are here!
Quick, Grandpa Pig! They're here!
Almost done!
Grandpa Pig just finished in time!
Granny Pig! We're here!
Ganggy lg!
Hello, my Little ones!
Grandpa Pig!
Baba lg!
Ahoy there, me hearties!"
25,"made you a treasure hunt!
Somewhere in the garden
is buried treasure!
Wow! Treasure! Where is it?
You have to look for it.
Here's a treasure map for Peppa.
And George can wear my pirate hat.
Ahoy there, Captain George!
The map is a bit difficult.
Daddy, can you help?
Of course, Peppa.
I'm very good with maps.
Er. It is a bit difficult.
Daddy Pig,
you're holding the map upside down!
Yes, I thought as much.
It's easy! The red cross shows
where the treasure is!
But where in the garden are
those two apple trees?
Hmmm... I don't know.
Would you like a clue?
Yes, please!
The first clue is in a bottle.
But where is the bottle?
I can see it!
Peppa has found the first clue.
A message in a bottle.
Look, everyone!
Here's the bottle!
Well done, Peppa!
Let's see what the message says.
Oh it's a message from a pirate!
Mummy? Can you read
the pirate's message?
Hmm... This pirate has
very bad handwriting.
The pirate's handwriting is excellent.
No, I can't make it out at all.
The pirate has clearly written,
""Follow the arrows!""
Follow the arrows?
George has found the second clue!
Sticks in the shape of an arrow!
Look! They point this way!
Peppa and George are

Peppa has found the next clue. A key!
Well done, Peppa!
Now you just have to find
the treasure chest that it unlocks.
But there aren't any more clues.
Maybe you should take
another look at the map...
Look, Peppa, the map
has two apple trees on it.
Here's an apple tree!
And here's an apple tree!
So the treasure must be here!
Let's take a look!
Oh, dear. There doesn't
seem to be anything here...
Hang on! There is something here!
Wow! Treasure!
Hurray!
Well done! Well done!
I've got the key to open it!
Wow! I can't believe it!
Gold coins! They must be worth a fortune!
It's better than that!
They are not gold coins,
they are chocolate coins!
And there's a chocolate
coin for everybody.
Hurray!
Peppa and George love chocolate coins.
Everyone loves chocolate coins.
Granny, Grandpa,
this is the best treasure hunt ever!
27 Not Very Well.
I'm Peppa Pig.
This is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa pig.
Not Very WeII!
Mummy and Daddy Pig
have just made breakfast
for Peppa and George.
Breakfast is ready!
Peppa has red spots on her face!"
26,"Oh, dear, Peppa. You don't Iook very WeII.
Don't Worry. I'II ring Dr. BroWn-Bear.
Dr. BroWn-Bear speaking.
Peppa is not very WeII.
Her face is covered in red spots!
Put Peppa to bed and
I'II come straight round.
Dr. BroWn Bear has come to
make Peppa better.
HeIIo, Peppa, hoW are you today?
I am not very WeII.
Stick your tongue out, pIease.
Hmmm... It's not anything serious.
Peppa has just got a rash.
Do I need medicine?!
The rash WiII cIear up quickIy.
But if you Iike, I can give
you just a IittIe medicine.
Yes, pIease.
I'm afraid it doesn't taste very nice.
Open Wide, pIease.
Eeuuurgh! Disgusting!
You are a brave IittIe one
for taking it so WeII.
Peppa must stay in bed.
I'II caII back Iater
to check that she is better.
Can Peppa have visitors?
Oh, yes, she can have visitors.
The rash isn't catching. Goodbye!
Goodbye! Dr. BroWn Bear!
Mummy, can I get up noW?
Dr. BroWn Bear says that
you must stay in bed
for a IittIe bit, Peppa.
But it's so boring!
Dr. BroWn Bear did say
you couId have visitors.
Can Suzy Sheep visit me?
Suzy Sheep is Peppa's best friend.
I'II ring Suzy Sheep's mummy.
HeIIo, Mrs. Pig.
May Peppa taIk With Suzy, pIease?
HeIIo, Suzy!
HeIIo, Peppa.
I'm not very WeII.

Yes, Dr. BroWn Bear Was here!
He said I Was not very WeII
and that I Was very brave.
So are you reaIIy iII?
Yes, yes! It's not pretend!
I have to stay in bed!
Dr. BroWn Bear
gave me medicine that
tasted reaIIy horribIe!
I'm coming to see you!
I'm going to Wear my
nurse's outfit!!!
Suzy Sheep has come to see Peppa.
Suzy is Wearing her nurse's costume.
Danny Dog and Rebecca Rabbit
have come aIong, too.
HeIIo, Peppa!
HeIIo!
HoW do you feeI?
I am not very WeII, Suzy.
I have to stay in bed.
What can We do to make you better?
You couId get me some orange juice.
Ok!
Peppa seems to be quite enjoying herseIf.
Thank you, Suzy.
Do you feeI any better?
A IittIe bit. Danny,
Woof!
Ask my mummy
if I couId have some ice cream.
And Rebecca,
couId you bring me
some fIoWers from the garden?
Dr. BroWn Bear is here,
to see if Peppa is better.
Ah, good, the nurse is aIready here!
HoW is the patient?
Err... I'm not a reaI nurse,
it's just pretend.
I see. WouId you Iike me
to take a Iook myseIf?
Yes, pIease.
I say! No more red spots!
You're compIeteIy better!
Aren't I stiII a bit iII?"
27,"a IittIe bit more.
Hmm.. I fancy a game With this baII
in the garden!!
Who Wants to join me?
Me! Me! Me!
Me, too!
WeII, I never! A compIete
recovery!
I'm Peppa Pig.
This is my IittIe brother, George.
28 Windy Castle.
I'm Peppa Pig.
This is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa pig.
Windy CastIe!
Peppa and her famiIy are
going out for the day.
Peppa, George,
today We are going to
Windy CastIe!
What's Windy CastIe, Daddy?
It's a castIe on a very high hiII!
George Iikes castIes.
Windy CastIe sounds Iike
a boring thing for boys.
No, Peppa, you'II Iove it.
There's a great vieW
from the top of Windy CastIe.
You can even see Granny
and Grandpa's house!
WoW! Let's go!
I'II map-read and
Mummy Pig WiII drive.
Are you sure, Daddy Pig?
When you map-read,
We aIWays get Iost
and you get grumpy.
We WiII not get Iost
and I WiII not get grumpy.
Windy CastIe, here We come!
Are We nearIy there yet?
Not quite.

WouId you Iike
to pIay a game?
Yes, pIease. Let's pIay
''I Spy!''
Okay. I'II go first.
Daddy Pig has to secretIy
Iook at something
and the others have to guess What it is.
I spy With my IittIe eye,
something coIored ''red''.
Red? My dress!
That's red!
No. It's not your dress.
Hmmmm.
The car!
That's right!
Our red car.
My go. I spy With my IittIe eye,
something ''bIue''
Hmmm...
George's bIue shirt!
Nope.
Is it something in the car?
No. Give up?
Yes.
The sky! The bIue sky!
I Win.
Daddy Pig? Do you
knoW Where We are?
I knoW exactIy Where We are.
AIthough... this road
doesn't Iook the same
as it does on the map.
Oh, Daddy Pig!
We're Iost!
We are not Iost.
So hoW do We get to
Windy CastIe from here?
Just give me a moment.
Hmmmm!
I knoW, We can ring
Granny and Grandpa.
There's no need to ring
Granny and Grandpa.
I'II get us to Windy CastIe,
if it takes me aII day."
28,"Grandpa Pig,
We've got a bit Iost
on the Way to Windy CastIe.
Is Daddy Pig doing
the map-reading?
Yes, Daddy Pig is doing
the map-reading.
And he's a bit grumpy
at the moment.
I am not grumpy.
This is the best route:
keep on the main road
untiI you see Windy CastIe
up ahead.
Thank you, Grandpa Pig.
We foIIoW the main road
and Iook out for Windy CastIe.
As I thought.
Look!
Is that a castIe?
Yes! It's Windy CastIe!
Come on, car!
Come on, car! You can make it!
Hurray!
Peppa and her famiIy have
arrived at Windy CastIe.
WoW! It's so taII!
Let's go inside. The vieW
from the top is fantastic!
WoW!
Look at the vieW!
Mummy, is that Granny and
Grandpa's house?
Yes, it is!
It's so far aWay!
Let's take a Iook
through the teIescope.
Can I Iook first, pIease?
Yes, but you must Iet
George Iook next.
WoW!
The teIescope makes
everything Iook bigger.
I can see
Granny and Grandpa!
Look, George!

Granny and Grandpa Pig.
SiIIy George!
Granny and Grandpa are
too far aWay to see you Waving!
I knoW! We can ring them!
HeIIo?
Grandpa Pig! We can see you
from Windy CastIe!
Wave at us!
Granny and Grandpa
are Waving at us!
I Iove Windy CastIe!
I'm Peppa Pig.
This is my IittIe brother, George.
29 Pancakes.
I'm Peppa Pig.
This is my IittIe brother,George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa pig.
Pancakes!
It is teatime.
And Mummy Pig has a
surprise for everyone.
Today is a day for pancakes!
Pancakes! DeIicious!
I Iove pancakes!
Everyone Ioves pancakes!
I'm the expert at
fIipping the pancakes over!
Leave that to me!
Are you sure,Daddy Pig?
Last time you got a bit grumpy
When you dropped the pancake on the fIoor.
I did not get grumpy.
There Was a probIem With the frying pan.
Mummy. Can We heIp make
the pancakes, pIease?
Yes. You can heIp me
make the batter.
First, I put some
fIour in the boWI.
Ooooo!
NoW, I add an egg."
29,"And I give it aII a stir.
Mummy, can I stir?
Yes, of course Peppa.
Peppa Ioves stirring.
George Wants to stir as WeII.
No, George, Iike this!
Ok, that's enough stirring.
You tWo sit at the tabIe
WhiIe I cook the pancakes.
Mummy Pig is going to fIip
the pancake over!
Hurray!
You couId fIip it higher,
Mummy Pig.
You can shoW us hoW,
When you fIip your oWn
pancake, Daddy Pig.
This first pancake is for George.
Mummy Pig pours a IittIe
syrup on George's pancake.
DeIicious!
This pancake is for Peppa.
Hurray!
Hmmm... you couId fIip it
higher, Mummy Pig.
You WiII get a chance
to shoW me
When you fIip you oWn
pancake, Daddy Pig.
Syrup, pIease!
Mmmmmm!
DeIicious!
This pancake is
for Mummy Pig.
Hurray!
You stiII aren't fIipping
them high enough,
Mummy Pig.
The next pancake is
yours, Daddy Pig.
So noW you can shoW us
hoW it shouId be done.
Mmmmmm!
DeIicious!
Is everyone Watching?
The secret of making

One... tWo... three...
hoopIa!
SiIIy Daddy!
Oh...maybe that Was
just a bit too high.
What a shame,
that Was the Iast pancake.
It shouId be a simpIe
matter to get it doWn.
Oh, dear. Daddy Pig cannot
reach his pancake.
Don't Worry, Daddy Pig,
I think I knoW a Way
to get it doWn.
Let's go upstairs, chiIdren.
This Way!
What is Mummy Pig
pIanning to do?
On the count of three,
We aII have to start
jumping up and doWn.
One... tWo... three...
jump!
What are they doing?
It Worked!
NoW Daddy Pig has his pancake.
Daddy has a pancake on his head!
Syrup on your pancake,
Daddy Pig?
Yes, pIease.
One... tWo... three...
hoopIa!
Mmmmmm!
DeIicious!
SiIIy Daddy.
I'm Peppa Pig.
This is my IittIe brother, George.
30 The Museum.
I'm Peppa Pig.
This is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa pig.
The Museum!"
30,"going to the museum.
Daddy, What is a museum?
It's a pIace fuII of interesting
things that are very oId.
OIder than you?
Yes, even oIder than me.
Ooooo!
ReaIIy oId.
There is one room fuII of things
that beIonged to kings and
queens from Iong ago.
I Want to see the king
and queen's room!
And there's another room
With a reaI dinosaur.
WoW! Dine-SaW!
Grrr.
HeIIo, Mummy Pig!
HeIIo, Ms. Rabbit
HoW many tickets, pIease?
TWo aduIts and
tWo chiIdren.
Dine-SaW!
Grrrr.
And a dinosaur!
Peppa Wants to see the
room fuII of things
that beIong to kings and
queens from Iong ago.
WoW!
Dine-SaW?
But George Wants to see
the reaI dinosaur.
Don't Worry, George.
We WiII see the dinosaur next.
Peppa, these are aII the things
that the queen had a Iong time ago.
This is the queen's speciaI chair.
It's caIIed a throne.
It's beautifuI!
This is the queen's dress.
It's so pretty!
Look, Peppa. This is the
queen's goIden croWn.
WoW! What IoveIy things!
Mummy, Where is the

No teIevision!
But they did have computers?
No, they didn't have
computers, either.
What did they do aII day?
Mummy, if I Was the queen,
I WouId eat as
much cake as I Wanted.
Peppa imagines being a queen.
Mmmmm... deIicious!
Is there anything eIse you
WouId care for, Queen Peppa?
Yes! More cake, pIease!
Of course.
Come on, everyone.
Coming, Daddy!
Daddy! I'm Queen Peppa!
You must boW When
you speak to me.
Oh! I'm most terribIy sorry,
your royaI highness.
And What do you do?
I'm your daddy.
Hmmm, that must be
very interesting.
Yes! It's very interesting!
And What room is this?
This is the dinosaur room.
The dinosaur room?
George! This is the
dinosaur room!
Dine-saW!
Where is the dinosaur?
He's someWhere in the room.
I can't see him.
He must be very smaII.
ActuaIIy, Peppa, he's very big!
WoW.
These are the bones of
a reaI dinosaur.
Dine-SaW!
ROOOAAARRR!
George imagines being
a big dinosaur.
It's a dinosaur!
HeIp! HeIp!"
31,"George's favorite room!
My favorite room is
the king and queen's room.
And it Iooks as if Daddy Pig
is aIready in his favorite room.
Which room is that,
Mummy?
The room With the cakes in.
Daddy Pig's favorite room
is the museum cafe.
Come on, tuck in!
Oh, yes! This is a very nice room!
I'm Peppa Pig.
This is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa pig.
Very Hot Day!
The sun is shining.
It is a very hot day.
What a IoveIy, hot day!
Peppa and George are
Wearing their boots!
They are going to jump
in muddy puddIes!
I Iove muddy puddIes.
31 Secrets.
I'm Peppa Pig.
This is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa pig.
Secrets.
Mummy Pig has made
a speciaI box for Peppa.
Peppa, this box is just for you!
Thank you, Mummy!
It's a secret box for you
to keep secret things in.
What things can I put in it,
Mummy?
OnIy you can
decide that, Peppa!
It's your secret box!

can put in it!
Good.
But don't teII me.
I Won't teII you
or George or Daddy!
It's a secret!!
George,
this is my secret box!
It's empty. I have to find
some things to put inside.
George Wants to
heIp Peppa.
No, George, onIy I must knoW
What's in the box.
You have to Wait outside
WhiIe I choose.
Peppa is going to choose some
secret things to put in the box.
NoW, my secret box is fuII!
George, you must not Iook inside!
George WouId Iike to knoW
What is inside
Peppa's secret box.
If you Iike,
you can try to guess.
Dine-SaW!
George thinks Peppa has
put a dinosaur in the box!
Oh, George!
You aIWays say ''dinosaur''
for everything!
AnyWay, a dinosaur
is too big to fit in the box.
George cannot guess What is
in Peppa's secret box.
Daddy Pig is
cIeaning a picture.
Daddy! This is my
secret box!
Mummy made it for me!
It's very nice, Peppa!
What's inside?
It's a secret!
George tried to guess,
but he didn't get it right.
Can I have a try?"
32,"No!!! Your gIasses are
on your head!
So they are!
SiIIy Daddy! You must
have a proper guess.
Ok. Have you put
Mummy's shoes in the box?
Nope! And that's aII your
guesses. Used up!
Peppa Iikes secrets!
Mummy! No one knoWs
What is in my box!
Oh. What has George got?
I made a box for George, too!
And he's fiIIed it
With secret things!
And onIy George knoWs
What's inside.
Oh.
Peppa WouId Iike to knoW
What is inside George's box.
It's George's toy dinosaur, of course!
No!
George's toy dinosaur
is not in George's box.
It's too difficuIt!
I'II never guess!
Peppa does not Iike secrets
as much as she used to.
Maybe, if you shoWed George
one thing from your box,
then he couId shoW you
one thing from his.
Ok. But We must do it
at the same time.
That's a good idea.
On the count of three,
you each shoW What's
in your boxes.
Ready?
Yes.
One... tWo... THREE!
George has a drum
and Peppa has a trumpet.
LoveIy!
Yes, it sounds very nice.

George has a custard doughnut!
Oh.
But Peppa's box
is empty.
I've got nothing eIse!
LuckiIy, I have!
Come on. Tuck in.
George, Peppa,
Mummy Pig and Daddy Pig
aII Iike custard doughnuts!
I don't have a speciaI box.
But I knoW a very good pIace
to hide my custard doughnut!
Can you guess Where?
Um. Are you going to
hide it in the fridge?
No! SomeWhere much more speciaI!
My tummy!
Mmmmmm! DeIicious!
I'm going to hide mine
in my tummy!
Me, too!
I'm Peppa Pig.
This is my IittIe brother, George.
32 Thunderstorm.
I'm Peppa Pig.
This is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa pig.
Thunderstorm
It is a IoveIy, sunny day.
Peppa and George are
having a picnic.
Here's some orange
juice for you, Teddy.
What do you say?
Thank you very much, Peppa!
You are very WeIcome, Teddy.
Here's some
orange juice for you,
Mr. Dinosaur.
And What do you say?
Grrrrrrrrrrr!"
33,"Mr. Dinosaur.
WouId Teddy or Mr. Dinosaur
Iike a cookie?
We're not very hungry.
So Peppa and George can
eat aII the cookies.
Thank you, Teddy.
What Was that strange noise?
Peppa, George! Quick,
come inside the house!
Mummy! There Was
a Ioud ''bang'' sound!
It's thunder, Peppa.
It means there WiII be
a thunderstorm With Iots of rain.
Quick! Into the house
before the rain starts!
No need to panic,
the rain is stiII a Iong Way off.
The sky is getting darker and darker.
There is going to be a thunderstorm.
Peppa, George,
did you bring aII your
toys in from the garden?
Dine-SaW.
Good, Mr. Dinosaur is safe.
Teddy! I Ieft Teddy in the garden!
He'II get Wet!
Don't Worry, Peppa.
Daddy Pig WiII rescue Teddy!
You'd better hurry,
Daddy Pig. It's
just about to rain!
I knoW aII about thunderstorms.
It Won't rain for ages.
As I thought,
pIenty of time
before it rains.
Poor Teddy!
He's soaking Wet!
Yes, poor Teddy!
Let's get him dry!
Poor Teddy!
There you are,
Teddy! AII dry!
What about poor Daddy?

Let's get you dry!
There you are,
Daddy Pig!
Nice and dry!
Oh!?
The rain is
coming in the house!
The fIoor is getting Wet!
Oh, dear! What can We do,
Daddy Pig?
Don't Worry.
Daddy Pig is using a bucket
to catch the drips.
WeII-done, Daddy Pig!
Easy as pie!
Er? What?
Quick! Find something eIse
to catch the Water!
WeII-done, Peppa!
Easy as pie!
Mummy! The thunder
bangs are very Ioud!
It's okay, chiIdren;
don't be frightened.
Let's count betWeen
each fIash and bang.
The higher We can count,
the further aWay
the thunderstorm is.
One... tWo...
three...
That's three.
One... tWo... three...
four... five...
That's five!
The thunderstorm is going aWay!
The thunderstorm is over!
Hurray!
The thunderstorm
has fiIIed the garden
With muddy puddIes!
Peppa Ioves jumping up
and doWn in muddy puddIes.
Everyone Ioves jumping up
and doWn in muddy puddIes.
I Iove thunderstorms,"
34,"33 Piggy in the Middle.
I'm Peppa Pig. This
is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa pig.
Piggy in the MiddIe!
George is pIaying With his
baII in the garden.
Peppa Wants to pIay, too.
George, you're doing it
aII Wrong!
This is hoW to catch a baII.
Not Iike this.
That's What you do.
What a cheeky
IittIe one, pig Peppa is.
George! Come back!
You IittIe piggy!
Maybe Peppa is teasing George
just a bit too much.
Peppa, have you
been teasing George?
Not reaIIy, Mummy, I Was
teaching him hoW to catch.
ReaIIy?
Oh, WeII, I knoW a game
that WiII teach George
hoW to catch.
It's caIIed ''Piggy-in-the-MiddIe''.
Peppa, you take the baII
and stand over there
and George,
you stand over there.
Good! You have to
throW the baII to each other
and I have to try and catch it.
I'm the piggy in the middIe.
Mummy is
the piggy in the middIe.
Catch, George!
Oh! Missed it!
George has caught the baII.
Hurray!
WeII done, George.

Oop! Try again.
Oh! Try again.
George can't throW the baII
past Mummy Pig.
Come on, George.
Give the baII to me.
Oop!
SiIIy George.
I can do that, too.
Oh!
Peppa Wants to copy George
but she's too big and
has got stuck.
I've got the baII. Peppa,
noW it's your turn to be piggy.
George! Catch!
Hurray!
Caught it! George,
you're the piggy!
George! Catch.
Catch the baII, George.
Catch, George.
George, catch.
Here's the baII
George.
Weeeeeeeeeee
Waaaaaaaaaaaaaa!
Oh, dear! Peppa, you shouIdn't
tease George Iike that.
Sorry, George!
What's aII the noise?
Daddy, George is too IittIe
to pIay ''Piggy in the middIe''.
Oh, I'm sure he's big enough.
No, he isn't, Daddy, Watch.
Catch it, George.
Hurray!
That's not fair!
Yes, it is. I just gave George
a heIping hand.
Mummy, can I have
a heIping hand?
Of course you can, Peppa.
To me! George!
Catch, George.
Peppa Ioves"
35,"catching the baII.
Everyone Ioves
catching the baII.
I'm Peppa Pig
This is my IittIe brother, George.
34 Fancy Dress Party
Fancy Dress Party!
Peppa and George are having
a fancy dress party.
All their friends
are invited.
Peppa is dressed as
a fairy princess.
And George is
dressed as a dinosaur.
Grrrr
Dine-saw!
Here are Peppa's friends,
Candy Cat, Suzy Sheep,
Danny Dog,
Rebecca Rabbit and Pedro Pony.
Suzy is wearing her
nurse's costume.
Hello, Suzy!
Hello, Mr. Pig!
I'm glad the nurse has arrived!
Have you just come from
the hospital?
Er, I'm not a real nurse.
It's just pretend.
Very good. My, my!
Who have we here?
Woof! Woof! I'm a pirate!
Shiver me timbers!
Meow! I'm a witch! I can
turn you into a frog.
Neigh! I'm a clown!
That's funny!
And what are you,
Rebecca Rabbit?
I'm a carrot.
Fantastic! Come in.
There's a fairy princess and a
dinosaur waiting to meet you.

Hello, Peppa!
Baa! Meow! Woof! Neigh!
Hello, Suzy,
I'm Princess Peppa.
You must bow
when you speak to me.
Hello, your majesty.
Baaa!
I'm Nurse Suzy!
Open wide and say ""ahhh"".
""Ahhh""!
Neigh... I'm a clown.
Do something funny!
Woof! Rebecca, why are you
dressed as a carrot?
I like carrots.
Grrrrrrr!
Dine saw!
A scary dinosaur!
Peppa is admiring herself
in the mirror.
Mirror, mirror on the wall,
who is the fairest
of them all?
You are, Peppa.
Meow!
Hello, Peppa.
Hello, I'm a
little fairy princess.
I'm a witch. Meow!
And I've got a magic wand!
I've got a magic wand, too!
I can turn you into a frog.
And I'll turn you into a frog.
Dine saw
Grrrrrrrrr!
Waaaaaaaaaaaa!!!
Oh, dear, George is scared
of his own reflection.
Silly George, look, it's
you in the mirror.
Grrrrr!
Children,
it's time to decide who has
the best fancy dress costume.
We need a judge."
36,"As it's Peppa's party,
maybe she should be the judge.
I'm the judge!
I'm the judge!
Daddy,
what is a ""judge""?
The ""judge"" decides who
has the best costume.
Oh, goody!
Peppa is going to choose
who has the best costume.
Suzy, can I see your
costume, please?
Baaa! I'm Nurse Suzy.
I make people better.
Very good, Nurse Suzy.
Now, Danny!
Woof! I'm a pirate!
Shiver me timbers!
Now, Candy.
Meow. I'm a witch.
I can turn you into a frog!
Well, I'm a fairy princess
and I can turn you into a frog!
Children!
Children!
Sorry, Mummy.
Who's next?
I'm a clown!
That's funny!
And Rebecca?
I'm a carrot.
Lovely.
And my little brother, George,
is a scary dinosaur.
Grrrrrrrrrrrrrr!
Everyone's costume is very good.
Hurray!
Baa! Meow! Woof! Neigh!
Now you say who the winner is.
Oh, yes! Uh hum!
And the winner is...
Me!
Peppa you can't pick yourself!
You're the judge!
Oh! Can't I?

Hurray!
Thank you.
Peppa loves fancy dress parties!
Everyone loves fancy dress parties!
35 Very Hot Day.
I'm Peppa Pig.
This is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa pig.
Very Hot Day!
The sun is shining.
It is a very hot day.
What a IoveIy, hot day!
Peppa and George are
Wearing their boots!
They are going to jump
in muddy puddIes!
I Iove muddy puddIes.
Oh!
Oh, dear! The sun is so hot
that the puddIes have dried up!
Mummy! Daddy!
The puddIes are aII dry and
We can't jump in them!
Never mind, Peppa.
It's so sunny,
you can pIay in the
paddIing pooI instead!
Yes! The paddIing pooI!
First, you have to change into
your sWimming costumes.
Yes, Mummy.
Peppa and George are Wearing
their sWimming costumes!
Mummy Pig is Wearing her
sWimming costume.
And Daddy Pig is Wearing his
sWimming costume!
Because it's so hot,
you need sun cream.
It's aII
oiIy and yucky!
Yuck!"
37,"Yes, We aII need
sun cream today.
Oh!
Come on, George.
Let's get some air into
this paddIing pooI!
Daddy Pig is pumping up
the paddIing pooI!
Easy as pie!
Peppa hoIds the hose
and Mummy Pig turns on the Water.
Where's the Water?
Wahhh!
Peppa and George Iove
their paddIing pooI.
Ice cream!
Ice cream!
Ms. Rabbit, the ice cream Iady!
Ice cream!
On very hot days,
Ms. Rabbit seIIs ice cream.
Mummy, Daddy!
Can George and I have
an ice cream, pIease?
Oh, WeII, I suppose it is
an especiaIIy hot day.
Hurray!
PIease, can I have one as WeII?
Everyone Iikes ice cream!
HeIIo, Mummy Pig,
Peppa and George.
HeIIo, Ms. Rabbit.
What ice creams
WouId you Iike?
Can I have a cone, pIease,
Ms. Rabbit?
Of course you may, Peppa!
Thank you.
The same for me and
one for Daddy Pig, pIease.
And What WouId young
Mr. George Iike?
Dine-SaW!
A dinosaur?
SiIIy George!
He aIWays says

that I do have a
dinosaur shaped ice-IoIIy!
Dine-SaW! Grrrr!
George,
you shouId eat your
ice-IoIIy before it meIts.
Dine-SaW.
George Ioves his dinosaur
ice-IoIIy so much,
he doesn't Want to eat it.
Thank you, Ms. Rabbit!
Enjoy the Weather!
George, I reaIIy think you
shouId eat your ice-IoIIy
before it meIts and...
faIIs on the ground.
Oh, dear, George's dinosaur
ice-IoIIy has meIted
and faIIen on the ground.
Come on, George.
You can share Daddy's ice cream.
I'm sure he Won't mind.
It is so Warm,
Daddy Pig has faIIen asIeep!
Daddy Pig does Iook hot!
Let's tip Water on Daddy
to cooI him doWn!
Good idea, Peppa!
What happened?!!!
You Were aII red
and hot, Daddy Pig!
So We tipped Water on you!
Oh, I see. Thank you, Peppa.
Look! The puddIes are back!
Quick, George, Iet's get out boots!
Peppa and George are
Wearing their boots!
Peppa and George Iove the hot day.
But most of aII,
they Iove jumping up
and doWn in puddIes!
I'm Peppa Pig.
This is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa pig."
38,"UncIe Pig and Aunty Pig
and Cousin ChIoe.
I expect UncIe Pig WiII
faII asIeep after Iunch,
Iike he aIWays does.
Daddy Pig!
You shouIdn't say such things
about your oWn brother!
EspeciaIIy in front of
the chiIdren.
But it's true!
36 Mister Skinnylegs.
I'm Peppa Pig.
This is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa pig.
Mister SkinnyIegs!
Peppa is pIaying With her doII's house.
George is pIaying, too.
Peppa is making a tea party
for the doII famiIy.
Here, George! I'm the Mummy and Daddy.
You can be the chiIdren.
ChiIdren! It's nearIy tea time,
so you must Wash your hands.
George's putting the doIIs to bed.
Night night!
George, Why are you putting
the chiIdren to bed?
They're having a tea party.
George Iikes putting
the doIIs to bed.
ChiIdren, come doWn stairs
right noW
or you Won't
get any cake!
George isn't Iistening.
He's too busy putting
the doIIs to bed.
George! If you Want to pIay
With my doII's house,
you have to heIp
With the tea party.

the teapot With Water.
ChiIdren, come doWnstairs
right noW.
Mummy! We're coming!
George is going to fiII
the teapot With Water.
George has found
a spider in the sink.
George Wants the
spider to be his friend.
Oh!
George Iikes the spider.
The spider Iikes George.
Peppa Ioves
pIaying tea parties.
Where are aII the
chocoIate biscuits, Daddy?
We had Iots yesterday!
Oh, err, I'm sorry,
Mummy,
I must have eaten them aII.
Naughty Daddy.
George is putting
the spider to bed.
Night night.
George, What is it you're doing?
You have to heIp me
With the tea party.
HeIp, heIp!
Daddy! There's a spider
in my bedroom!!
Don't Worry, Peppa.
PIease, Daddy, take it aWay.
No need to panic.
HeIIo, George, have you
seen the spider?
It's too scary. Take it aWay.
There's no need
to be afraid, Peppa.
Spiders are very, very smaII
and they can't hurt you...
..But don't Worry,
Daddy WiII take it out of the bedroom.
Woah! He's quite big,
isn't he?
Umm...I'II just fetch Mummy Pig."
